EG-CHP-MX1
2022-01-07T20:56:21.867621Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-07T20:54:53.986217Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-07T20:54:11.093050Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-07T20:54:00.921602Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-05T22:06:51.348035Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-05T22:06:51.346638Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-05T14:53:13.446587Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-05T14:53:13.445225Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-03T22:15:37.124005Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-03T22:15:37.122669Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-03T22:11:18.746987Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-03T22:11:18.745662Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-03T14:26:57.193490Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-03T14:26:50.159698Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-03T14:26:08.811239Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-03T14:23:43.157723Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-03T14:18:28.287144Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'false'}
2022-01-03T14:17:56.831688Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-03T14:17:08.648780Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-03T14:16:46.888780Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-01T01:19:50.709283Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-01T01:19:50.707907Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-29T21:09:26.947463Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-29T21:09:24.478204Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2021-12-29T21:08:10.190713Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-29T21:06:45.734189Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2021-12-29T21:05:59.263246Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-29T21:05:52.721637Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2021-12-25T02:31:58.120944Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
####################################################################################################

WZ-BAY-MX1
2021-12-31T18:25:11.723834Z - Ethernet port carrier change - {'device': 'port10', 'carrier': 'true'}
2021-12-31T18:21:13.039562Z - Ethernet port carrier change - {'device': 'port10', 'carrier': 'false'}
2021-12-31T16:06:15.321743Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-31T16:06:01.211815Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2021-12-31T16:02:52.943166Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-31T16:02:46.605406Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2021-12-31T16:02:33.454927Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2021-12-31T16:02:24.621121Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
####################################################################################################

EG-BUN-MX1
2022-01-07T08:25:49.291007Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-07T08:24:22.279009Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2022-01-07T08:23:40.887010Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'true'}
2022-01-07T08:23:31.115010Z - Ethernet port carrier change - {'device': 'port4', 'carrier': 'false'}
2022-01-05T11:46:24.195000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'true'}
2022-01-05T11:41:15.464000Z - Ethernet port carrier change - {'device': 'port0', 'carrier': 'false'}
####################################################################################################

AT-JAX-MX1
